Time,Ozone,Time,Temp
0,0.0423,0,29.16
0.000528,0.0423,0.000528,29.18
0.001056,0.0423,0.001056,29.18
0.001583,0.0423,0.001583,29.2
0.002111,0.0423,0.002111,29.2
0.002639,0.0423,0.002639,29.21
0.003167,0.0423,0.003167,29.21
0.003694,0.0423,0.003694,29.23
0.004222,0.0423,0.004222,29.25
0.00475,0.0423,0.00475,29.26
0.005278,0.0423,0.005278,29.28
0.005806,0.0423,0.005806,29.28
0.006333,0.0423,0.006333,29.3
0.006861,0.0423,0.006861,29.33
0.007389,0.0423,0.007389,29.33
0.007917,0.0423,0.007917,29.33
0.008444,0.0423,0.008444,29.35
0.008972,0.0423,0.008972,29.35
0.0095,0.0423,0.0095,29.37
0.010028,0.0423,0.010028,29.38
0.010556,0.0423,0.010556,29.38
0.011083,0.0423,0.011083,29.4
0.011611,0.0423,0.011611,29.42
0.012139,0.0423,0.012139,29.43
0.012667,0.0423,0.012667,29.45
0.013194,0.0423,0.013194,29.45
0.013722,0.0423,0.013722,29.47
0.01425,0.0423,0.01425,29.49
0.014778,0.0423,0.014778,29.49
0.015306,0.0423,0.015306,29.5
0.015833,0.0423,0.015833,29.52
0.016361,0.0423,0.016361,29.52
0.016889,0.0423,0.016889,29.54
0.017417,0.0423,0.017417,29.54
0.017944,0.0423,0.017944,29.54
0.018472,0.0423,0.018472,29.55
0.019,0.0431,0.019,29.55
0.019528,0.0423,0.019528,29.57
0.020056,0.0423,0.020056,29.57
0.020583,0.0423,0.020583,29.57
0.021111,0.0423,0.021111,29.59
0.021639,0.0431,0.021639,29.6
0.022167,0.0423,0.022167,29.6
0.022694,0.0423,0.022694,29.62
0.023222,0.0423,0.023222,29.62
0.02375,0.0423,0.02375,29.62
0.024278,0.0423,0.024278,29.66
0.024806,0.0423,0.024806,29.66
0.025333,0.0423,0.025333,29.67
0.025861,0.0423,0.025861,29.69
0.026389,0.0423,0.026389,29.69
0.026917,0.0423,0.026917,29.71
0.027444,0.0423,0.027444,29.71
0.027972,0.0423,0.027972,29.72
0.0285,0.0423,0.0285,29.72
0.029028,0.0423,0.029028,29.74
0.029556,0.0423,0.029556,29.76
0.030083,0.0423,0.030083,29.77
